ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175894.5997596,129,281,362,362,231,25.059253035777957,5407,563.1,109.37089439514168
1782175894.6987455,495,512,4,4,0,24.792250694788407,489375,6.2,1676.6622506947883
1782175894.7997246,400,162,91,91,350,29.403171301947125,21510,141.6,120.07878952320526
1782175894.899991,347,457,144,144,55,27.040010964913108,13593,224.0,112.36389382825368
1782175895.200047,400,495,91,91,17,26.845969200445126,21510,141.6,131.96844208547765
1782175895.3996146,218,391,273,273,121,16.941994833597036,7170,424.7,98.06253713294629
1782175895.499013,499,515,8,8,3,16.730257596171228,244687,12.4,853.4634390856868
1782175895.5993161,410,181,81,81,331,17.142257117662467,24166,126.0,115.93550368309991
1782175895.699711,384,476,107,107,36,16.6604735634605,18294,166.4,112.71865143764705
1782175895.7989905,502,513,11,11,1,16.5106793256367,177954,17.1,631.3572953776975
1782175895.8993623,240,239,251,251,273,10.308404952179487,7798,390.4,83.49792049809416
1782175896.0988522,446,181,45,45,331,10.774318594800164,43500,70.0,168.41423182690426
1782175896.1989286,309,439,182,182,73,8.337763743428354,10755,283.1,89.33073554386219
1782175896.299202,463,509,28,28,3,8.410432423289123,69910,43.6,265.6736139128047
1782175896.3984723,235,78,256,256,434,2.3132216384086774,7646,398.2,68.79125489943543
1782175896.499074,428,492,63,63,20,2.895422925132465,31071,98.0,135.3977439663472
1782175896.5994065,454,511,37,37,1,3.585380315592758,52905,57.6,205.65199636765345
1782175896.6987727,218,366,273,273,146,0,7170,424.7,80.03594360086768
1782175896.7990735,439,505,52,52,7,0,37644,80.9,153.26631236442515
1782175896.8994617,478,513,13,13,1,0,150576,20.2,523.8966160520607
1782175896.9987483,346,466,145,145,46,0,13500,225.6,85.56433839479394
1782175897.0991988,449,510,42,42,2,0.2419315432469773,46607,65.3,182.0418303140351
1782175897.1994102,488,512,3,3,0,0.12691943159947527,652500,4.7,2195.5969194315994
1782175897.2989042,506,512,15,15,0,0.3695718054859327,130500,23.3,457.6995718054859
1782175897.3992426,505,512,14,14,0,0.39562147062900976,139821,21.8,488.645621470629
1782175897.499609,507,512,16,16,0,0.5808200932368663,122343,24.9,430.8808200932369
1782175897.5991118,507,513,16,16,1,0.9402593268979871,122343,24.9,431.19687537895874
1782175897.6994634,506,512,15,15,0,0.2336284668581925,130500,23.3,457.5636284668582
1782175897.799769,507,512,16,16,0,0.6354579227467951,122343,24.9,430.9354579227468
1782175897.899116,505,513,14,14,1,0.7652838524295049,139821,21.8,488.9718999044902
1782175897.9995117,506,512,15,15,0,13.91613262508345,130500,23.3,471.2461326250834
1782175898.0997953,508,512,17,17,0,14.254485054124643,115147,26.4,420.71781838745795
1782175898.1992097,506,512,15,15,0,13.561993955847825,130500,23.3,470.8919939558478
1782175898.299605,506,513,15,15,1,13.88012876099836,130500,23.3,471.1667448130591
1782175898.3999486,506,512,15,15,0,13.390268701747175,130500,23.3,470.72026870174716
1782175898.4992661,506,512,15,15,0,21.721402101922592,130500,23.3,479.0514021019226
1782175898.5994608,507,512,16,16,0,21.88497797051666,122343,24.9,452.1849779705167
1782175898.6987731,505,512,14,14,0,21.557352869189273,139821,21.8,509.8073528691893
1782175898.7991462,505,513,14,14,1,21.722849935487417,139821,21.8,509.92946598754816
1782175898.8995333,506,512,15,15,0,21.79413917955594,130500,23.3,479.1241391795559
1782175898.9988453,506,512,15,15,0,30.534189064771667,130500,23.3,487.86418906477167
1782175899.0992162,505,513,14,14,1,30.281518471307294,139821,21.8,518.4881345233681
1782175899.1996772,506,512,15,15,0,34.84496267448779,130500,23.3,492.1749626744878
1782175899.2988756,507,513,16,16,1,34.73312053150116,122343,24.9,464.98973658356186
1782175899.3992746,506,512,15,15,0,48.411241534613374,130500,23.3,505.7412415346134
1782175899.4998755,506,513,15,15,1,48.65372457519435,130500,23.3,505.94034062725507
1782175899.5989301,507,512,16,16,0,48.605350473030754,122343,24.9,478.90535047303075
1782175899.6992295,506,513,15,15,1,75.47470693345338,130500,23.3,532.7613229855142
1782175899.7995322,506,512,15,15,0,76.13826866670773,130500,23.3,533.4682686667077
